partner_name,nft_address
Stabl,0x1a8042ded3d7b02929a1bec785a5325b2e89ead8
Thena,0x3bE3b5CC353975DE22D9cb4d9E36866792708671
QiDao,0xC63c477465a792537D291ADb32Ed15c0095E106B
Frax,0xDCB5A4b6Ee39447D700F4FA3303B1d1c25Ea9cA7
Angle,0x3b9D32D0822A6351F415BeaB05251c1457FF6f8D
Gamma,0x8c823c1489Dcf2af7ded0eccdBf81Ff993e1435b
Ichi,0x0768A75F616B98ee0937673bD83B7aBF142236Ea
Stader,0xADDC413C6D63A5fA654D7a2e31aF3a34c88A1206
Lido,0x87D93d9B2C672bf9c9642d853a8682546a5012B5
Sphere,0x20D61737f972EEcB0aF5f0a85ab358Cd083Dd56a
Tetu,0xcc16d636dD05b52FF1D8B9CE09B09BC62b11412B
Dyson,0x7754d8b057CC1d2D857d897461DAC6C3235B4aAe
Liquid Driver,0x06917EFCE692CAD37A77a50B9BEEF6f4Cdd36422
Beefy,0xe37dD9A535c1D3c9fC33e3295B7e08bD1C42218D
Coin98,0x80A8BBBf9A2FE462f3F50f49A4574f119c0eAd3D
Paintswap,0x3b99636439FBA6314C0F52D35FEd2fF442191407
Luchadores,0x0Cb11b92Fa5C30eAfe4aE84B7BB4dF3034C38b9d
Jarvis,0xF5EF0Ab7EBc229Dbd7ed91b79c2b00898deAe0bD
OKSE,0x928e8f55c7C5695f5E0Dc621551cF53964593406
OATH,0x74157963F21B8158E3f9d8Fbf7EBC1228c57B4DD
fBOMB,0x28aa4F9ffe21365473B64C161b566C3CdeAD0108
USDR,0x81a7525cD96603Eb335A9E6e8473246f232FD71D
Velocimeter,0xa3082df7a11071db5ed0e02d48bca5f471ddbaf4
Steer Protocol,0xC77e75c941f021B1A3fea6E497a5E45e825d0Fde
